yo	65683
chua	40492
dia	33374
lo	23455
kei	2731
biang	224
nou	19
hng	2
ng	1
m	1
den	1
n	1
rua	1
fiao	1
zhei	1
eng	1
nun	1
