cr	285938	2.5
rb	5488347	2.54
nu	3017000	2.34
rv	2057004	2.2
ny	5498106	2.2
tc	32051780	2.7
tx	11497617	2.24
tv	15711150	2.3
tz	456926	1.85
zr	938128	1.78
ce	22002191	2.2
xr	19640575	2.14
qx	10073042	1.9
rg	2995880	1.66
mh	4079675	1.68
fb	3148935	1.66
xq	15549004	1.9
tb	34108049	2.2
mu	34443377	2.2
qc	7674847	1.5
my	61506848	2.58
vr	46872766	2.2
lo	23455	1.2
nh	823494	1.2
bg	1178515	1.2
qs	1209134	1.2
tg	2451546	1.2
uy	2834978	1.2
xw	50821227	2.2
za	4041948	1.2
kp	4261310	1.2
yn	53023001	2.2
pk	5660088	1.2
hy	6059517	1.2
xs	6415094	1.2
tr	9219247	1.2
lp	18924421	1.4
gf	9856757	1.2
ca	873047	1.0
dq	1171884	1.0
pl	20938094	1.4
fc	1	0.95
cf	76279	0.95
dc	12222216	1.2
nj	30076454	1.56
cg	10800897	1.15
xt	64088685	2.24
ik	14873347	1.2
mj	15125258	1.2
ky	17606067	1.25
hj	16597647	1.2
gv	32969198	1.54
ku	11624383	1.05
bf	41136730	1.66
lo	20760827	1.2
eg	1	0.7
bd	224	0.7
uj	24800836	1.2
vb	25034263	1.2
mi	20781073	1.1
uk	19206213	1.05
np	1	0.63
hu	44845459	1.56
fg	27647721	1.2
ul	787849	0.63
gb	28687887	1.2
dx	2986231	0.65
qd	20422051	1.0
vf	30904760	1.2
dw	33374	0.55
no	2449633	0.6
wg	409864	0.55
ko	5625452	0.65
dz	1990018	0.55
il	2559180	0.55
sb	3118449	0.55
vw	3023841	0.54
gw	4288616	0.55
dr	23871022	0.95
mm	1	0.4
nn	1	0.4
iy	132919	0.4
oo	373619	0.4
cb	414441	0.4
zz	418811	0.4
ph	3007262	0.45
nk	6754493	0.5
yh	41000412	1.2
wa	3161023	0.4
pm	17718490	0.7
nl	6308847	0.45
ze	61667968	1.6
vv	4259993	0.4
se	16658877	0.65
sr	12942136	0.57
yo	65683	0.3
sg	338400	0.3
zf	5121387	0.39
hp	8437081	0.45
nm	44540150	1.2
qw	1677083	0.3
aa	6538978	0.4
yj	68146437	1.68
ga	683736	0.27
va	4567793	0.35
sa	2329957	0.3
kh	7338456	0.4
cs	15854874	0.55
pj	11125557	0.45
rr	8785940	0.4
gz	11939383	0.46
zg	12212174	0.46
df	1	0.2
rw	1	0.2
vz	1	0.2
io	284066	0.2
nn	10293338	0.4
lh	5932510	0.3
sf	1469938	0.2
ee	11716004	0.4
cv	2543620	0.2
rs	20379457	0.57
ln	14963414	0.45
mk	15094297	0.45
ml	14596808	0.43
ip	8391786	0.3
ss	13323516	0.4
sv	11914347	0.37
up	4401809	0.2
db	28410361	0.7
ou	5226272	0.2
po	10352081	0.3
ni	44763251	1.0
jp	18483780	0.45
te	16191979	0.4
hh	16224814	0.4
ly	32200659	0.73
zb	10996473	0.27
kk	17556464	0.4
mo	30311061	0.66
bx	13777552	0.3
gg	18903979	0.4
ng	1	0.0
hg	2	0.0
nb	19	0.0
kz	2731	0.0
iw	40492	0.0
vy	93304	0.0
mq	134815	0.0
px	154390	0.0
js	160594	0.0
ur	245210	0.0
pb	310952	0.0
nt	313591	0.0
nf	467699	0.0
lw	478755	0.0
nx	544874	0.0
ah	630359	0.0
kg	665756	0.0
tp	1041216	0.0
en	1095185	0.0
sh	1472465	0.0
mx	1488633	0.0
nr	1600983	0.0
gp	1616653	0.0
ne	1746878	0.0
re	11430719	0.2
nd	1955583	0.0
sk	2007586	0.0
pf	2023703	0.0
iv	2134749	0.0
uw	2195621	0.0
kw	2215860	0.0
pu	11822210	0.2
rp	2397417	0.0
nc	2413132	0.0
kf	2435066	0.0
fo	2497391	0.0
uz	2508840	0.0
rk	2800595	0.0
zh	2917600	0.0
kv	2938284	0.0
pi	17366640	0.3
gy	3211763	0.0
lr	3249157	0.0
zp	3501815	0.0
bn	3506007	0.0
dg	22731674	0.4
qq	22907469	0.4
jr	3918916	0.0
ha	3999583	0.0
pa	4247870	0.0
hg	4587619	0.0
lt	4601041	0.0
cu	4714017	0.0
zj	4774378	0.0
dp	4814972	0.0
lg	4864268	0.0
ao	4970568	0.0
ro	5022745	0.0
sp	5131200	0.0
vo	5527251	0.0
zs	24701243	0.4
qt	18752820	0.27
mb	5951811	0.0
lj	15558892	0.2
pg	6035420	0.0
nq	6039824	0.0
mc	6043293	0.0
ch	6111813	0.0
hz	6547136	0.0
sl	6635801	0.0
gr	86152684	1.66
ib	6732506	0.0
ka	7178301	0.0
ii	26425846	0.4
vl	7436286	0.0
vd	24391439	0.35
ud	7752070	0.0
co	7922545	0.0
lu	38097097	0.63
if	8005644	0.0
bh	8311531	0.0
ls	8541290	0.0
lb	8568003	0.0
mg	8713969	0.0
ck	8731548	0.0
ba	32260881	0.49
pc	9255664	0.0
mn	66795272	1.2
th	9389218	0.0
ju	67028000	1.2
gd	29142818	0.4
yp	23143308	0.27
la	10255894	0.0
ua	10637177	0.0
hd	10798636	0.0
to	10923656	0.0
yk	70816467	1.25
pn	41375530	0.63
lk	21161663	0.2
vp	11596791	0.0
hs	11813582	0.0
rh	12148251	0.0
kd	12303851	0.0
jn	88034561	1.56
lx	13504088	0.0
ns	13589584	0.0
tk	13630772	0.0
nv	13937995	0.0
kr	13951433	0.0
gh	14194132	0.0
qn	14631323	0.0
lm	36412535	0.43
cj	16362795	0.0
id	17238698	0.0
ai	17396826	0.0
tj	17692922	0.0
me	18296656	0.0
kj	28099534	0.2
qp	18955935	0.0
cp	19166692	0.0
pz	19169582	0.0
lz	19893780	0.0
is	20180932	0.0
ty	20193667	0.0
xp	20253389	0.0
bo	20479640	0.0
zv	30212082	0.2
kb	20748965	0.0
vg	94712349	1.54
ya	21223596	0.0
fz	39957115	0.39
zk	21344961	0.0
uo	31058147	0.2
hf	21860813	0.0
ho	43539004	0.45
xx	41746813	0.4
ks	22600300	0.0
bc	42233096	0.4
ij	44779828	0.45
ir	23422502	0.0
jt	23563055	0.0
ri	23663694	0.0
bl	23717941	0.0
lc	23767257	0.0
rj	23821466	0.0
py	36801483	0.27
ma	25438736	0.0
mm	45094084	0.4
dv	42857223	0.35
kl	35901864	0.2
wl	26327876	0.0
